timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781508225446,1019,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,538,408,1,1,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,1015,0,736
1781508226493,124,Seleccionar item - Sofa,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,623,532,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/items,124,0,0
1781508226620,116,Seleccionar item - Mesa,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,756,530,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/items,116,0,0
1781508226737,100,Seleccionar item - Neo,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,883,524,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/items,100,0,0
1781508226838,96,Seleccionar item - Escritorio,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,1016,529,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/items,96,0,0
1781508226934,143,Crear orden,201,Created,Ingreso-usuarios-muebles 1-1,text,true,,776,532,1,1,https://compumuebles-sabana-api.cyk.com.co/api/orders,143,0,0
1781508227078,221,Autorizar pago,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,1488,1223,1,1,https://compumuebles-sabana-api.cyk.com.co/api/payments/authorize,221,0,0
1781508227300,98,Vaciar carrito,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,482,377,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/b2296a29-4636-42c7-bba9-6417c950f445/items,98,0,0
1781508227399,294,Consultar ordenes,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,64948,314,1,1,https://compumuebles-sabana-api.cyk.com.co/api/orders,211,0,0
1781508227697,531,Consultar pagos,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,175104,316,1,1,https://compumuebles-sabana-api.cyk.com.co/api/payments,368,0,0
1781508228232,259,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,538,408,1,1,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,259,0,0
1781508228491,100,Seleccionar item - Sofa,200,OK,Ingreso-usuarios-muebles 1-1,text,true,,623,532,1,1,https://compumuebles-sabana-api.cyk.com.co/api/cart/items,100,0,0
